# col1      z        survey   logLX   mag    
  0.239     0.558    22       42.42   -99.9  
  0.2328    0.373    22       42.01   -99.9  
  0.2245    2.146    22       43.74   -99.9  
  0.781     0.979    22       43.5    -99.9  
  6.24      1.47     22       44.81   -99.9  
  0.066     3.079    22       43.55   -99.9  
  0.172     0.838    22       42.69   -99.9  
  1.63      2.292    22       44.66   -99.9  
  0.1205    1.581    22       43.17   -99.9  
  0.48      0.387    22       42.36   -99.9  
  0.282     0.465    22       42.31   -99.9  
  0.2946    1.297    22       43.36   -99.9  
  0.236     0.556    22       42.41   -99.9  
  1.49      1.413    22       44.15   -99.9  
  0.3636    1.822    22       43.79   -99.9  
  0.433     0.665    22       42.85   -99.9  
  0.1535    1.259    22       43.05   -99.9  
  0.296     2.03     22       43.8    -99.9  
  0.568     0.28     8        42.11   -99.0  
  1.0187    0.374    22       42.65   -99.9  
  0.0788    4.9      22       44.06   -99.9  
  0.0736    0.976    22       42.47   -99.9  
  0.146     0.819    22       42.59   -99.9  
  0.2956    2.49     22       44.0    -99.9  
  0.147     0.365    22       41.78   -99.9  
  1.5553    0.891    22       43.7    -99.9  
  0.238     0.554    22       42.41   -99.9  
  0.0788    0.569    22       41.95   -99.9  
  0.348     0.811    22       42.96   -99.9  
  1.45      1.526    22       44.21   -99.9  
  1.3596    1.799    22       44.35   -99.9  
  0.31      0.326    22       42.0    -99.9  
  0.052     0.45     22       41.54   -99.9  
  0.0376    1.165    22       42.36   -99.9  
  0.0656    0.895    22       42.33   -99.9  
  0.874     2.22     8        44.36   -99.0  
  0.0865    3.102    22       43.68   -99.9  
  1.04      1.36     22       43.95   -99.9  
  0.516     1.933    22       44.0    -99.9  
  0.0945    3.715    22       43.88   -99.9  
  0.0829    0.911    22       42.45   -99.9  
  0.2812    0.936    22       43.01   -99.9  
  0.2009    1.867    22       43.55   -99.9  
  0.2719    1.33     22       43.35   -99.9  
  0.4481    0.739    22       42.97   -99.9  
  0.0337    3.175    22       43.29   -99.9  
  0.232     0.36     22       41.97   -99.9  
  0.6726    2.501    22       44.36   -99.9  
  0.0469    2.472    22       43.19   -99.9  
  0.0542    0.904    22       42.26   -99.9  
  0.0743    2.478    22       43.4    -99.9  
  0.2966    1.52     22       43.52   -99.9  
  0.1092    1.028    22       42.69   -99.9  
  0.0551    0.751    22       42.08   -99.9  
  0.215     0.886    22       42.84   -99.9  
  0.4666    0.745    22       43.0    -99.9  
  0.1226    0.347    22       41.66   -99.9  
  0.0995    0.437    22       41.79   -99.9  
  0.1174    0.607    22       42.19   -99.9  
  0.207     1.984    22       43.63   -99.9  
  0.224     2.709    7        43.96   22.1   
  0.0661    0.733    7        42.13   22.8   
  0.777     1.888    7        44.15   20.4   
  0.145     1.065    7        42.85   23.8   
  0.0101    2.259    7        42.44   23.7   
  0.0441    0.674    7        41.87   22.7   
  0.0498    2.94     7        43.39   25.1   
  0.0426    2.185    7        43.03   24.5   
  0.0169    0.861    7        41.7    23.6   
  0.142     0.737    7        42.47   21.0   
  0.0995    0.735    7        42.31   22.3   
  0.284     1.406    7        43.42   25.0   
  0.208     1.616    7        43.43   24.5   
  0.073     2.573    7        43.42   25.9   
  0.0743    0.574    7        41.94   21.0   
  0.783     0.977    7        43.5    23.4   
  0.0222    0.777    7        41.72   21.8   
  0.624     0.976    7        43.4    22.7   
  0.0393    0.545    7        41.61   22.4   
  0.122     2.81     7        43.73   20.7   
  0.0392    0.735    7        41.91   22.0   
  0.00717   1.61     7        41.96   25.2   
  0.0207    0.998    7        41.94   22.5   
  0.08      2.562    7        43.46   24.3   
  0.0291    0.624    7        41.62   22.6   
  0.00265   2.076    7        41.78   24.6   
  0.00555   1.544    7        41.81   24.0   
  1.26      1.324    7        44.01   19.9   
  0.0598    1.097    7        42.5    23.7   
  0.0122    3.66     7        42.98   -1.0   
  0.184     0.534    7        42.26   21.1   
  0.0972    1.049    7        42.66   24.9   
  0.0551    0.733    7        42.05   22.2   
  0.197     0.619    7        42.44   21.1   
  0.00182   2.227    7        41.68   23.7   
  0.0238    3.7      7        43.28   24.7   
  0.16      2.306    7        43.66   22.2   
  0.0671    1.982    7        43.13   24.0   
  0.0134    0.877    7        41.62   23.7   
  0.00294   1.608    7        41.57   25.5   
  0.223     0.664    7        42.56   22.7   
  0.158     1.216    7        43.02   21.0   
  0.00684   1.764    7        42.03   21.0   
  0.0806    3.064    7        43.63   25.5   
  0.00277   1.998    7        41.76   23.9   
  0.0367    0.734    7        41.88   23.1   
  0.179     3.61     7        44.13   22.6   
  0.0314    0.661    7        41.71   21.4   
  0.281     1.92     7        43.73   23.0   
  0.0183    1.22     7        42.09   26.2   
  0.0284    0.769    7        41.82   21.8   
  0.0154    1.114    7        41.92   23.8   
  1.07      0.979    7        43.64   21.7   
  0.0574    0.667    7        41.98   21.2   
  0.0365    1.222    7        42.39   22.7   
  0.0072    1.367    7        41.8    23.4   
  0.0117    1.115    7        41.8    23.6   
  0.213     1.22     7        43.16   22.9   
  0.0469    1.625    7        42.78   25.2   
  0.0105    1.146    7        41.79   23.9   
  0.0326    0.622    7        41.66   24.7   
  0.00907   1.189    7        41.76   22.3   
  0.349     0.733    7        42.86   21.2   
  0.0977    0.424    7        41.76   20.6   
  0.318     0.512    7        42.46   23.5   
  0.076     1.089    7        42.59   23.4   
  0.309     1.257    7        43.35   23.1   
  0.305     2.072    7        43.84   23.2   
