# col1      z        survey   logLX   mag    
  1.67      1.041    7        43.89   20.0   
  0.304     1.612    7        43.59   23.7   
  0.0738    0.733    7        42.18   22.8   
  4.96      0.7423   7        44.02   19.2   
  0.154     0.665    7        42.4    22.5   
  0.0271    0.735    7        41.75   22.4   
  0.00515   1.315    7        41.62   -1.0   
  0.507     1.2091   7        43.52   21.3   
  0.133     0.955    7        42.7    22.9   
  0.631     0.735    7        43.12   22.2   
  0.0163    1.0391   7        41.88   22.9   
  0.0704    0.6173   7        41.99   21.6   
  0.00626   2.223    7        42.22   23.6   
  0.0102    1.071    7        41.7    22.8   
  0.0968    0.952    7        42.56   -1.0   
  0.0282    1.215    7        42.27   -1.0   
  0.00255   1.91     7        41.68   25.5   
  0.0174    1.894    7        42.51   25.8   
  0.00773   1.227    7        41.72   24.2   
  0.328     1.5115   7        43.56   25.0   
  0.168     0.841    7        42.68   23.0   
  0.00567   2.576    7        42.32   25.4   
  0.0124    1.3087   7        41.99   22.2   
  0.0225    1.615    7        42.46   25.6   
  0.00759   1.542    7        41.94   25.8   
  0.293     0.6659   7        42.68   22.9   
  0.0019    1.843    7        41.52   23.9   
  0.661     1.6094   7        43.92   24.8   
  2.03      0.8376   7        43.76   20.6   
  0.0725    0.652    7        42.06   22.4   
  0.369     0.2983   7        41.99   19.0   
  0.0524    0.679    7        41.96   -1.0   
  0.00461   2.1232   7        42.04   22.3   
  0.0926    1.552    7        43.03   25.3   
  0.00275   2.13     7        41.82   24.1   
  0.00457   1.299    7        41.55   26.1   
  0.0806    0.3809   7        41.57   25.3   
  0.0744    3.193    7        43.64   24.8   
  0.00361   1.57     7        41.64   24.0   
  0.0566    2.688    7        43.36   24.1   
  0.0522    0.91     7        42.25   -1.0   
  0.0437    3.476    7        43.49   24.0   
  0.0505    1.013    7        42.34   24.1   
  0.0383    2.583    7        43.15   25.3   
  0.0257    0.9813   7        42.02   22.4   
  0.0071    1.382    7        41.8    25.8   
  0.026     0.664    7        41.63   20.9   
  0.0055    2.2923   7        42.19   24.3   
  0.0131    1.1777   7        41.91   23.7   
  0.0538    0.545    7        41.75   -1.0   
  0.722     0.7358   7        43.18   22.1   
  0.0356    0.972    7        42.15   22.6   
  0.0443    1.022    7        42.3    22.8   
  0.0426    3.0819   7        43.36   25.1   
  0.0109    1.319    7        41.94   27.1   
  0.0327    1.502    7        42.55   -1.0   
  0.0112    1.155    7        41.82   25.6   
  0.0647    1.613    7        42.92   23.5   
  0.763     2.567    7        44.44   21.8   
  0.537     2.0052   7        44.05   22.1   
  0.189     0.981    7        42.88   24.0   
  0.161     0.622    7        42.35   21.0   
  1.91      1.842    7        44.52   20.5   
  0.0114    1.2567   7        41.91   23.5   
  0.0116    2.0265   7        42.4    25.5   
  0.0469    0.5182   7        41.64   19.9   
  0.0121    4.635    7        43.2    27.4   
  0.745     1.6085   7        43.98   23.6   
  0.0173    0.812    7        41.66   23.2   
  0.0162    0.7325   7        41.52   22.0   
  0.0736    1.3347   7        42.78   23.2   
  0.105     0.783    7        42.4    22.6   
  0.112     0.347    7        41.62   -1.0   
  0.48      1.0291   7        43.34   23.0   
  0.0327    0.61     7        41.64   -1.0   
  0.231     0.6864   7        42.61   22.7   
  0.3255    1.59     22       43.6    -99.9  
  0.379     1.231    22       43.41   -99.9  
  0.1174    1.377    22       43.02   -99.9  
  0.0733    2.421    22       43.37   -99.9  
  0.079     0.371    22       41.53   -99.9  
  0.0668    2.162    22       43.22   -99.9  
  0.0855    2.575    22       43.49   -99.9  
  0.1391    1.511    22       43.19   -99.9  
  0.173     1.032    22       42.9    -99.9  
  0.4501    1.444    22       43.65   -99.9  
  0.0477    1.358    22       42.61   -99.9  
  0.8899    1.433    22       43.94   -99.9  
  0.138     1.005    22       42.77   -99.9  
  0.0845    1.009    22       42.56   -99.9  
  1.8437    1.559    22       44.34   -99.9  
  0.0676    0.727    22       42.14   -99.9  
  0.3286    0.678    22       42.75   -99.9  
  0.1823    0.971    22       42.86   -99.9  
  0.0586    0.679    22       42.01   -99.9  
  0.0623    0.891    22       42.31   -99.9  
  0.1003    1.972    22       43.3    -99.9  
  0.2225    2.668    22       43.94   -99.9  
  0.1226    1.315    22       42.99   -99.9  
  0.0671    1.48     22       42.85   -99.9  
  0.0415    1.478    22       42.64   -99.9  
  0.0654    1.95     22       43.11   -99.9  
  0.4522    1.256    22       43.51   -99.9  
  0.0509    0.998    22       42.33   -99.9  
  0.588     1.472    22       43.78   -99.9  
  0.6582    2.24     22       44.25   -99.9  
  0.0313    2.233    22       42.92   -99.9  
  0.067     0.44     22       41.63   -99.9  
  0.0958    0.37     22       41.61   -99.9  
  0.222     1.702    22       43.51   -99.9  
  0.0503    1.937    22       42.99   -99.9  
  0.103     0.915    22       42.55   -99.9  
  0.421     0.943    22       43.19   -99.9  
  0.243     2.41     8        43.88   -99.0  
  0.0379    1.14     8        42.34   -99.0  
  0.9033    0.73     22       43.27   -99.9  
  0.047     0.673    22       41.9    -99.9  
  1.03      1.248    22       43.86   -99.9  
  0.1123    1.896    22       43.32   -99.9  
  1.09      0.838    22       43.49   -99.9  
  1.1       0.995    22       43.66   -99.9  
  0.1226    0.772    22       42.45   -99.9  
  0.1792    3.65     22       44.15   -99.9  
  2.0703    1.322    22       44.22   -99.9  
  0.1421    0.894    22       42.67   -99.9  
  0.083     0.959    22       42.5    -99.9  
  0.055     0.478    22       41.62   -99.9  
  0.6005    1.312    22       43.68   -99.9  
  0.177     0.84     8        42.7    -99.0  
  0.2359    3.333    22       44.18   -99.9  
  0.173     0.787    22       42.62   -99.9  
  0.0612    2.442    22       43.3    -99.9  
  0.24      1.141    22       43.14   -99.9  
  0.0626    1.319    22       42.7    -99.9  
  0.0898    1.661    22       43.09   -99.9  
  0.0683    2.673    22       43.43   -99.9  
  0.764     1.967    22       44.18   -99.9  
  9.49      2.309    22       45.43   -99.9  
  0.522     0.68     8        42.96   -99.0  
  0.4089    0.437    22       42.41   -99.9  
  0.57      0.817    22       43.18   -99.9  
  0.0867    1.806    22       43.16   -99.9  
  0.0479    1.839    22       42.92   -99.9  
  0.227     0.839    22       42.81   -99.9  
  0.0509    0.915    22       42.24   -99.9  
  0.112     0.677    22       42.28   -99.9  
  0.164     0.466    22       42.07   -99.9  
  0.0279    2.38     22       42.93   -99.9  
  0.252     0.972    22       43.0    -99.9  
  0.745     1.02     8        43.52   -99.0  
  1.0609    0.501    22       42.96   -99.9  
  0.221     3.749    22       44.26   -99.9  
  0.0852    1.857    22       43.17   -99.9  
  0.0332    1.858    22       42.77   -99.9  
  0.254     0.518    22       42.37   -99.9  
  0.0483    0.959    22       42.27   -99.9  
  0.0878    1.814    22       43.16   -99.9  
  0.82      0.608    22       43.04   -99.9  
  0.0367    1.332    22       42.48   -99.9  
  0.0514    1.552    22       42.78   -99.9  
  0.0381    1.915    22       42.86   -99.9  
  0.4007    0.901    22       43.12   -99.9  
  0.0643    0.961    22       42.4    -99.9  
  0.1864    0.862    22       42.75   -99.9  
  0.2266    0.992    22       42.98   -99.9  
  0.0382    1.158    22       42.36   -99.9  
  0.1022    0.733    22       42.32   -99.9  
  0.4192    1.5      22       43.66   -99.9  
  0.0772    2.675    22       43.49   -99.9  
  0.4068    1.313    22       43.51   -99.9  
  0.0446    2.857    22       43.31   -99.9  
  0.515     0.695    22       42.97   -99.9  
  0.0585    0.933    22       42.33   -99.9  
  0.0375    2.255    22       43.01   -99.9  
  0.1081    1.255    22       42.89   -99.9  
  0.1112    0.945    22       42.62   -99.9  
  0.1154    0.676    22       42.29   -99.9  
  0.1051    0.938    22       42.59   -99.9  
  0.0555    1.405    22       42.71   -99.9  
  0.0387    1.759    22       42.78   -99.9  
  0.0481    2.485    22       43.21   -99.9  
  0.0391    1.172    22       42.38   -99.9  
  0.0775    0.753    22       42.23   -99.9  
  0.0599    0.892    22       42.29   -99.9  
  4.41      1.031    22       44.3    -99.9  
  0.0713    3.36     22       43.67   -99.9  
  0.0537    1.313    22       42.63   -99.9  
  0.0478    1.171    22       42.47   -99.9  
  0.097     0.733    22       42.3    -99.9  
  0.0632    1.028    22       42.46   -99.9  
  0.0877    5.31     22       44.18   -99.9  
  0.1401    2.29     22       43.6    -99.9  
  0.309     1.187    22       43.29   -99.9  
  0.0574    2.147    22       43.15   -99.9  
  0.1051    0.328    22       41.53   -99.9  
  0.0796    0.373    22       41.54   -99.9  
  0.1195    0.986    22       42.69   -99.9  
  0.865     1.433    22       43.93   -99.9  
  0.1535    0.941    22       42.75   -99.9  
  0.0491    0.926    22       42.24   -99.9  
  0.3862    0.367    22       42.21   -99.9  
  0.1092    0.877    22       42.53   -99.9  
  1.4832    1.403    22       44.14   -99.9  
  0.1597    1.444    22       43.2    -99.9  
  0.0955    2.598    22       43.55   -99.9  
  0.0435    2.2      22       43.05   -99.9  
  0.2894    0.865    22       42.94   -99.9  
  0.2966    0.513    22       42.43   -99.9  
  0.0469    0.53     22       41.66   -99.9  
  0.097     1.404    22       42.95   -99.9  
  1.6       1.161    22       43.98   -99.9  
  0.0923    3.026    22       43.68   -99.9  
  0.931     1.854    22       44.21   -99.9  
  0.047     2.175    22       43.07   -99.9  
  2.58      0.352    22       42.99   -99.9  
  0.631     1.845    22       44.04   -99.9  
