# Z          logLUM_SOFT         
  0.253534   42.023663918197784  
  0.429492   42.025715383901336  
  0.372176   42.02734960777475   
  0.278896   42.03100428136353   
  0.553462   42.039810554148346  
  0.225215   42.040206627574705  
  0.333625   42.04139268515822   
  0.203092   42.049218022670175  
  0.19119    42.049218022670175  
  0.270882   42.049218022670175  
  0.098854   42.049992856920134  
  0.214738   42.05994188806195   
  0.43644    42.06145247908719   
  0.29498    42.06632592536203   
  0.298725   42.06744284277637   
  0.291373   42.06818586174616   
  0.30874    42.069298012115524  
  0.18955    42.06966809691159   
  0.175643   42.071882007306115  
  0.13889    42.07773117965239   
  0.241627   42.079543007402904  
  0.327014   42.080265627339834  
  0.189379   42.082785370316444  
  0.25516    42.082785370316444  
  0.339923   42.083144143143045  
  0.444712   42.08350261983026   
  0.236361   42.08778141780954   
  0.296679   42.100715086573075  
  0.273239   42.10311925354571   
  0.205232   42.10516942799932   
  0.448959   42.10653085382238   
  0.342541   42.10720996964786   
  0.455502   42.10856502373283   
  0.188996   42.10991586302379   
  0.334354   42.12057393120584   
  0.33354    42.12936759572298   
  0.208378   42.135450699345505  
  0.337319   42.135450699345505  
  0.349906   42.137354111370726  
  0.231262   42.137986732723526  
  0.398354   42.140193678578626  
  0.580162   42.14581771449182   
  0.237574   42.14736710779378   
  0.298104   42.152288344383045  
  0.364057   42.15381486434452   
  0.43145    42.158663980813984  
  0.338375   42.16375752398195   
  0.166261   42.174931593528434  
  0.377539   42.17580163284828   
  0.461528   42.18127177155945   
  0.141676   42.18155777386278   
  0.41966    42.18554215485437   
  0.335449   42.18554215485437   
  0.31715    42.187802638718416  
  0.363787   42.190611797813595  
  0.226848   42.19451434188246   
  0.363079   42.201123897207374  
  0.430936   42.209515014542625  
  0.332943   42.21298618473666   
  0.566712   42.217483944213896  
  0.47339    42.220631019448085  
  0.337063   42.221674997070764  
  0.350199   42.22349594096239   
  0.25906    42.23854788768132   
  0.457963   42.23879856271391   
  0.172226   42.24054924828259   
  0.323811   42.243534101832054  
  0.205671   42.248218561190065  
  0.433906   42.254064452914335  
  0.915713   42.25551371281952   
  0.647243   42.25719842613933   
  0.191594   42.25815819334078   
  0.563884   42.25863728272407   
  0.171083   42.25959387888594   
  0.603083   42.26007138798507   
  0.258922   42.26150077319828   
  0.343637   42.26410915630581   
  0.321778   42.266231696689886  
  0.055642   42.269279389771896  
  0.237105   42.270212854896236  
  0.15332    42.27806733088865   
  0.272242   42.279894980011626  
  0.549194   42.28080592839366   
  0.444481   42.283753383332524  
  0.138723   42.28465628278851   
  0.298652   42.29025726939451   
  0.354192   42.290924559382745  
  0.755555   42.29358351349611   
  0.277858   42.2957869402516    
  0.335253   42.29863478312443   
  0.187925   42.30276370847297   
  0.400689   42.30535136944662   
  0.384844   42.30835094858672   
  0.309546   42.31302311032323   
  0.323086   42.31344537042641   
  0.429854   42.31785448933146   
  0.493049   42.3230457354817    
  0.535711   42.328787200354526  
  0.160926   42.33545790068938   
  0.198117   42.34143452457813   
  0.409204   42.34419571587143   
  0.323665   42.34458874257871   
  0.451305   42.34596154181314   
  0.49221    42.346157302232     
  0.297253   42.352182518111356  
  0.320017   42.35525990552737   
  0.357858   42.35659943572496   
  0.331257   42.35850591149023   
  0.636783   42.36059341356524   
  0.433937   42.369401413696615  
  0.552667   42.369401413696615  
  0.424838   42.37051308959859   
